"invoice_id","customer_type","total"
"860-79-0874","Member","1042.65"
"283-26-5248","Member","1034.46"
"303-96-2227","Normal","1022.49"
"744-16-7898","Normal","1022.385"
"271-88-8734","Member","1020.705"
"554-42-2417","Normal","1002.12"
"325-77-6186","Member","951.825"
"731-81-9469","Member","942.9"
"817-69-8206","Normal","942.4485"
"277-35-5865","Member","935.2665"
"384-59-6655","Member","932.337"
"139-32-4183","Member","921.186"
"641-51-2661","Member","914.55"
"746-04-1077","Member","888.615"
"677-11-0152","Normal","881.307"
"852-62-7105","Normal","874.125"
"574-22-5561","Member","867.615"
"678-79-0726","Member","856.4535"
"549-84-7482","Normal","853.146"
"698-98-5964","Normal","852.705"
"138-17-5109","Member","843.0345"
"638-60-7125","Normal","836.304"
"640-48-5028","Member","835.2855"
"431-66-2305","Normal","833.9625"
"286-43-6208","Normal","829.71"
"228-96-1411","Member","829.08"
"829-49-1914","Member","822.255"
"227-07-4446","Member","820.365"
"652-43-6591","Normal","817.236"
"842-40-8179","Member","810.6"
"602-16-6955","Normal","804.3"
"593-14-4239","Normal","801.864"
"418-02-5978","Normal","794.6505"
"305-14-0245","Member","793.716"
"605-72-4132","Normal","793.548"
"571-94-0759","Member","783.3"
"453-33-6436","Normal","782.208"
"243-55-8457","Normal","781.62"
"416-17-9926","Member","779.31"
"315-22-5665","Normal","772.38"
"884-80-6021","Member","771.435"
"234-03-4040","Member","767.025"
"237-01-6122","Member","763.4655"
"817-48-8732","Member","759.675"
"448-61-3783","Normal","756.168"
"725-96-3778","Member","749.7"
"829-34-3910","Normal","749.49"
"803-17-8013","Member","745.836"
"155-45-3814","Member","743.82"
"394-30-3170","Member","742.812"
"135-84-8019","Normal","736.4385"
"627-95-3243","Member","734.076"
"183-21-3799","Normal","733.6035"
"710-46-4433","Member","731.43"
"253-12-6086","Member","723.24"
"399-46-5918","Normal","722.232"
"338-65-2210","Member","720.3"
"587-03-7455","Member","718.7565"
"831-81-6575","Member","714.3255"
"850-41-9669","Normal","709.317"
"430-60-3493","Member","697.368"
"670-79-6321","Member","695.2365"
