"invoice_id","product_line","unit_price","datas","times"
"471-41-2823","Food and beverages","99.79","3/7/2019","20:37"
"815-11-1168","Food and beverages","99.78","3/9/2019","19:09"
"868-52-7573","Food and beverages","99.69","1/14/2019","12:09"
"459-45-2396","Food and beverages","99.6","2/25/2019","18:45"
"183-56-6882","Food and beverages","99.42","2/6/2019","10:42"
"174-36-3675","Food and beverages","99.37","2/14/2019","17:29"
"277-35-5865","Food and beverages","98.97","3/9/2019","11:23"
"695-09-5146","Food and beverages","98.79","2/23/2019","20:00"
"228-96-1411","Food and beverages","98.7","3/4/2019","20:39"
"384-59-6655","Food and beverages","98.66","2/19/2019","15:07"
"828-46-6863","Food and beverages","98.53","1/23/2019","11:22"
"283-26-5248","Food and beverages","98.52","1/30/2019","20:23"
"416-13-5917","Food and beverages","97.03","1/30/2019","16:24"
"847-38-7188","Food and beverages","96.68","1/26/2019","19:56"
"605-72-4132","Food and beverages","94.47","2/27/2019","15:12"
"719-76-3868","Food and beverages","94.26","3/12/2019","16:30"
"642-61-4706","Food and beverages","93.4","3/30/2019","16:34"
"677-11-0152","Food and beverages","93.26","1/16/2019","18:08"
"782-95-9291","Food and beverages","92.29","2/20/2019","15:55"
"436-54-4512","Food and beverages","91.61","3/20/2019","19:44"
"326-78-5178","Food and beverages","91.4","2/3/2019","10:19"
"862-59-8517","Food and beverages","90.24","1/27/2019","11:17"
"393-65-2792","Food and beverages","89.48","1/6/2019","12:46"
"866-99-7614","Food and beverages","89.2","2/11/2019","15:42"
"889-04-9723","Food and beverages","89.14","1/7/2019","12:20"
"145-94-9061","Food and beverages","88.36","1/25/2019","19:48"
"325-89-4209","Food and beverages","87.9","2/5/2019","19:42"
"286-43-6208","Food and beverages","87.8","3/16/2019","19:08"
"358-88-9262","Food and beverages","87.48","2/1/2019","18:43"
"641-51-2661","Food and beverages","87.1","2/12/2019","14:45"
"451-73-2711","Food and beverages","84.83","1/14/2019","15:20"
"746-04-1077","Food and beverages","84.63","1/1/2019","11:36"
"862-17-9201","Food and beverages","84.05","1/29/2019","10:48"
"589-02-8023","Food and beverages","83.77","1/15/2019","10:54"
"548-48-3156","Food and beverages","83.34","3/19/2019","13:37"
"534-01-4457","Food and beverages","81.71","1/27/2019","14:36"
"698-98-5964","Food and beverages","81.21","1/17/2019","13:01"
"612-36-5536","Food and beverages","80.96","2/17/2019","11:12"
"786-94-2700","Food and beverages","80.62","2/28/2019","20:18"
"787-56-0757","Food and beverages","80.36","2/23/2019","18:45"
"316-55-4634","Food and beverages","80.05","1/26/2019","12:45"
"182-88-2763","Food and beverages","79.91","3/20/2019","19:28"
"186-71-5196","Food and beverages","79.54","3/27/2019","16:30"
"135-13-8269","Food and beverages","78.88","1/26/2019","16:04"
"829-49-1914","Food and beverages","78.31","3/5/2019","16:24"
"373-09-4567","Food and beverages","77.56","3/14/2019","20:35"
"710-46-4433","Food and beverages","77.4","2/15/2019","14:15"
"842-40-8179","Food and beverages","77.2","2/11/2019","10:38"
"153-58-4872","Food and beverages","74.89","3/1/2019","15:32"
"221-25-5073","Food and beverages","74.66","3/4/2019","10:39"
"571-94-0759","Food and beverages","74.6","1/8/2019","20:55"
"243-55-8457","Food and beverages","74.44","2/27/2019","11:40"
"407-63-8975","Food and beverages","73.88","3/23/2019","19:16"
"274-05-5470","Food and beverages","73.47","2/23/2019","18:30"
"785-13-7708","Food and beverages","73.06","1/14/2019","19:06"
"234-03-4040","Food and beverages","73.05","3/3/2019","12:25"
"845-94-6841","Food and beverages","72.88","1/8/2019","19:38"
"131-15-8856","Food and beverages","72.52","3/30/2019","19:26"
"355-34-6244","Food and beverages","72.39","1/13/2019","19:55"
"420-97-3340","Food and beverages","71.68","3/28/2019","15:30"
"420-11-4919","Food and beverages","71.39","2/17/2019","19:57"
"841-18-8232","Food and beverages","71.2","1/5/2019","20:40"
"162-65-8559","Food and beverages","68.98","1/21/2019","20:13"
"663-86-9076","Food and beverages","68.54","1/8/2019","15:57"
"151-33-7434","Food and beverages","67.77","2/4/2019","20:43"
"443-59-0061","Food and beverages","67.45","2/3/2019","11:25"
"305-03-2383","Food and beverages","67.1","2/15/2019","10:36"
"720-72-2436","Food and beverages","66.52","3/2/2019","18:14"
"541-08-3113","Food and beverages","65.97","2/2/2019","20:29"
"200-16-5952","Food and beverages","65.65","1/17/2019","16:46"
"727-17-0390","Food and beverages","63.61","3/16/2019","12:43"
"574-80-1489","Food and beverages","62.85","2/25/2019","13:22"
"468-01-2051","Food and beverages","62.08","3/6/2019","13:46"
"458-61-0011","Food and beverages","60.3","2/20/2019","18:43"
"728-47-9078","Food and beverages","59.59","1/19/2019","12:46"
"212-62-1842","Food and beverages","58.26","3/28/2019","16:44"
"349-97-8902","Food and beverages","57.89","1/17/2019","10:37"
"779-42-2410","Food and beverages","57.74","2/20/2019","13:06"
"790-29-1172","Food and beverages","57.34","3/10/2019","18:59"
"500-02-2261","Food and beverages","57.29","3/21/2019","17:04"
"886-18-2897","Food and beverages","56.56","3/22/2019","19:06"
"156-95-3964","Food and beverages","55.39","3/25/2019","15:19"
"266-20-6657","Food and beverages","55.04","3/12/2019","19:39"
"692-92-5582","Food and beverages","54.84","2/20/2019","13:27"
"329-62-1586","Food and beverages","54.67","1/21/2019","18:00"
"827-44-5872","Food and beverages","54.36","2/7/2019","11:28"
"316-01-3952","Food and beverages","54.27","3/13/2019","14:16"
"238-45-6950","Food and beverages","53.72","3/1/2019","20:03"
"499-27-7781","Food and beverages","53.21","3/14/2019","16:45"
"865-92-6136","Food and beverages","52.75","3/23/2019","10:16"
"372-62-5264","Food and beverages","52.6","1/16/2019","14:42"
"471-06-8611","Food and beverages","52.42","2/6/2019","10:22"
"278-86-2735","Food and beverages","52.34","3/27/2019","14:03"
"152-68-2907","Food and beverages","52.2","2/15/2019","13:30"
"470-32-9057","Food and beverages","51.34","3/28/2019","15:31"
"796-32-9050","Food and beverages","51.28","1/19/2019","16:31"
"577-34-7579","Food and beverages","50.49","1/10/2019","17:16"
"544-32-5024","Food and beverages","49.79","3/28/2019","19:16"
"633-44-8566","Food and beverages","49.38","3/27/2019","20:35"
"735-06-4124","Food and beverages","48.61","2/25/2019","15:31"
"510-95-6347","Food and beverages","48.52","3/5/2019","18:17"
"283-79-9594","Food and beverages","48.51","1/25/2019","13:30"
"130-67-4723","Food and beverages","48.5","1/11/2019","13:57"
"316-66-3011","Food and beverages","47.63","1/23/2019","12:35"
"409-49-6995","Food and beverages","47.27","2/5/2019","10:17"
"190-59-3964","Food and beverages","47.16","2/3/2019","14:35"
"689-16-9784","Food and beverages","46.77","3/11/2019","13:37"
"845-51-0542","Food and beverages","46.55","2/2/2019","15:34"
"101-17-6199","Food and beverages","45.79","3/13/2019","19:44"
"162-48-8011","Food and beverages","44.59","2/10/2019","15:10"
"574-57-9721","Food and beverages","43.27","3/8/2019","16:53"
"213-72-6612","Food and beverages","43.25","3/20/2019","15:56"
"252-56-2699","Food and beverages","43.19","2/7/2019","16:48"
"894-41-5205","Food and beverages","43.18","1/19/2019","19:39"
"374-17-3652","Food and beverages","42.82","2/5/2019","15:26"
"712-39-0363","Food and beverages","41.66","1/2/2019","15:24"
"272-27-9238","Food and beverages","41.24","2/19/2019","16:23"
"662-72-2873","Food and beverages","40.94","1/6/2019","13:58"
"639-76-1242","Food and beverages","40.52","2/3/2019","15:19"
"548-46-9322","Food and beverages","39.9","2/20/2019","15:24"
"110-05-6330","Food and beverages","39.43","3/25/2019","20:18"
"266-76-6436","Food and beverages","38.6","3/28/2019","13:57"
"434-83-9547","Food and beverages","38.47","1/23/2019","11:51"
"390-17-5806","Food and beverages","38.42","2/2/2019","16:33"
"592-46-1692","Food and beverages","36.77","1/11/2019","20:10"
"316-68-6352","Food and beverages","36.36","1/21/2019","10:00"
"729-46-7422","Food and beverages","35.89","2/23/2019","16:52"
"146-09-5432","Food and beverages","35.04","2/9/2019","19:17"
"588-01-7461","Food and beverages","33.98","3/24/2019","10:43"
"832-51-6761","Food and beverages","33.88","1/19/2019","20:29"
